interval_start_ts,interval_end_ts,interval_start_epoch_ms,interval_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,rc,interval_index,interval_start_s,interval_end_s,interval_seconds,throughput_mbps,retransmits,jitter_ms,lost_percent,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint
2026-04-05T14:51:16.751+08:00,2026-04-05T14:51:17.752+08:00,1775371876751,1775371877752,mice,mice_0,medium,tcp,42,5202,2,1,20,0,0,0.0,1.001,1.001,20.955,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:17.752+08:00,2026-04-05T14:51:18.752+08:00,1775371877752,1775371878752,mice,mice_0,medium,tcp,42,5202,2,1,20,0,1,1.001,2.001,1.0,19.919,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:19.768+08:00,2026-04-05T14:51:20.769+08:00,1775371879768,1775371880769,mice,mice_1,medium,tcp,42,5202,1,1,20,0,0,0.0,1.001,1.001,20.946,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:23.790+08:00,2026-04-05T14:51:24.791+08:00,1775371883790,1775371884791,mice,mice_3,medium,tcp,42,5203,1,1,20,0,0,0.0,1.001,1.001,20.944,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:22.785+08:00,2026-04-05T14:51:23.785+08:00,1775371882785,1775371883785,mice,mice_2,medium,tcp,42,5202,3,1,20,0,0,0.0,1.0,1.0,20.963,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:23.785+08:00,2026-04-05T14:51:24.786+08:00,1775371883785,1775371884786,mice,mice_2,medium,tcp,42,5202,3,1,20,0,1,1.0,2.001,1.001,19.91,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:24.786+08:00,2026-04-05T14:51:25.789+08:00,1775371884786,1775371885789,mice,mice_2,medium,tcp,42,5202,3,1,20,0,2,2.001,3.004,1.003,19.868,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:24.797+08:00,2026-04-05T14:51:25.798+08:00,1775371884797,1775371885798,mice,mice_4,medium,tcp,42,5204,2,1,20,0,0,0.0,1.001,1.001,20.949,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:25.798+08:00,2026-04-05T14:51:26.798+08:00,1775371885798,1775371886798,mice,mice_4,medium,tcp,42,5204,2,1,20,0,1,1.001,2.001,0.999,19.933,0,,,igp,igp_default,igp_shortest,igp
2026-04-05T14:51:25.804+08:00,2026-04-05T14:51:26.805+08:00,1775371885804,1775371886805,mice,mice_5,medium,tcp,42,5203,3,1,20,0,0,0.0,1.001,1.001,20.949,0,,,igp,igp_default,igp_shortest,igp
