interval_start_ts,interval_end_ts,interval_start_epoch_ms,interval_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,rc,interval_index,interval_start_s,interval_end_s,interval_seconds,throughput_mbps,retransmits,jitter_ms,lost_percent,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint
2026-04-05T14:14:53.499+08:00,2026-04-05T14:14:54.499+08:00,1775369693499,1775369694499,mice,mice_9,medium,tcp,42,5203,2,1,20,0,1,1.001,2.001,1.0,19.922,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:53.506+08:00,2026-04-05T14:14:54.507+08:00,1775369693506,1775369694507,mice,mice_10,medium,tcp,42,5202,3,1,20,0,0,0.0,1.001,1.001,20.948,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:54.507+08:00,2026-04-05T14:14:55.507+08:00,1775369694507,1775369695507,mice,mice_10,medium,tcp,42,5202,3,1,20,0,1,1.001,2.001,1.0,19.923,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:55.507+08:00,2026-04-05T14:14:56.507+08:00,1775369695507,1775369696507,mice,mice_10,medium,tcp,42,5202,3,1,20,0,2,2.001,3.001,1.0,19.918,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:55.519+08:00,2026-04-05T14:14:56.521+08:00,1775369695519,1775369696521,mice,mice_12,medium,tcp,42,5203,1,1,20,0,0,0.0,1.002,1.002,20.935,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:54.513+08:00,2026-04-05T14:14:55.514+08:00,1775369694513,1775369695514,mice,mice_11,medium,tcp,42,5204,2,1,20,0,0,0.0,1.001,1.001,20.951,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:55.514+08:00,2026-04-05T14:14:56.514+08:00,1775369695514,1775369696514,mice,mice_11,medium,tcp,42,5204,2,1,20,0,1,1.001,2.001,1.001,19.913,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:57.537+08:00,2026-04-05T14:14:58.541+08:00,1775369697537,1775369698541,mice,mice_14,medium,tcp,42,5202,1,1,20,0,0,0.0,1.004,1.004,20.894,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:58.544+08:00,2026-04-05T14:14:59.545+08:00,1775369698544,1775369699545,mice,mice_15,medium,tcp,42,5203,1,1,20,0,0,0.0,1.001,1.001,20.952,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:56.530+08:00,2026-04-05T14:14:57.531+08:00,1775369696530,1775369697531,mice,mice_13,medium,tcp,42,5205,3,1,20,0,0,0.0,1.001,1.001,20.943,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:57.531+08:00,2026-04-05T14:14:58.531+08:00,1775369697531,1775369698531,mice,mice_13,medium,tcp,42,5205,3,1,20,0,1,1.001,2.001,1.0,19.927,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:58.531+08:00,2026-04-05T14:14:59.531+08:00,1775369698531,1775369699531,mice,mice_13,medium,tcp,42,5205,3,1,20,0,2,2.001,3.001,1.0,19.922,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:42.426+08:00,2026-04-05T14:14:43.426+08:00,1775369682426,1775369683426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,0,0.0,1.0,1.0,902.646,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:43.426+08:00,2026-04-05T14:14:44.427+08:00,1775369683426,1775369684427,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,1,1.0,2.001,1.001,898.613,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:44.427+08:00,2026-04-05T14:14:45.426+08:00,1775369684427,1775369685426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,2,2.001,3.0,0.999,900.742,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:45.426+08:00,2026-04-05T14:14:46.426+08:00,1775369685426,1775369686426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,3,3.0,4.0,1.0,899.497,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:46.426+08:00,2026-04-05T14:14:47.426+08:00,1775369686426,1775369687426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,4,4.0,5.0,1.0,899.714,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:47.426+08:00,2026-04-05T14:14:48.426+08:00,1775369687426,1775369688426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,5,5.0,6.0,1.0,899.827,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:48.426+08:00,2026-04-05T14:14:49.426+08:00,1775369688426,1775369689426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,6,6.0,7.0,1.0,899.661,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:49.426+08:00,2026-04-05T14:14:50.426+08:00,1775369689426,1775369690426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,7,7.0,8.0,1.0,899.479,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:50.426+08:00,2026-04-05T14:14:51.426+08:00,1775369690426,1775369691426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,8,8.0,9.0,1.0,901.778,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:51.426+08:00,2026-04-05T14:14:52.426+08:00,1775369691426,1775369692426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,9,9.0,10.0,1.0,897.716,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:52.426+08:00,2026-04-05T14:14:53.427+08:00,1775369692426,1775369693427,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,10,10.0,11.001,1.001,898.929,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:53.427+08:00,2026-04-05T14:14:54.426+08:00,1775369693427,1775369694426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,11,11.001,12.0,0.999,900.507,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:54.426+08:00,2026-04-05T14:14:55.426+08:00,1775369694426,1775369695426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,12,12.0,13.0,1.0,899.571,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:55.426+08:00,2026-04-05T14:14:56.426+08:00,1775369695426,1775369696426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,13,13.0,14.0,1.0,899.747,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:56.426+08:00,2026-04-05T14:14:57.427+08:00,1775369696426,1775369697427,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,14,14.0,15.001,1.0,899.413,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:57.427+08:00,2026-04-05T14:14:58.426+08:00,1775369697427,1775369698426,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,15,15.001,16.0,1.0,899.919,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:58.426+08:00,2026-04-05T14:14:59.427+08:00,1775369698426,1775369699427,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,16,16.0,17.001,1.001,901.079,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:14:59.427+08:00,2026-04-05T14:15:00.427+08:00,1775369699427,1775369700427,elephant,elephant_0,medium,tcp,42,5201,18,3,300,0,17,17.001,18.001,1.0,896.761,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:15:00.570+08:00,2026-04-05T14:15:01.571+08:00,1775369700570,1775369701571,mice,mice_16,medium,tcp,42,5202,1,1,20,0,0,0.0,1.001,1.001,20.946,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
2026-04-05T14:15:01.575+08:00,2026-04-05T14:15:02.576+08:00,1775369701575,1775369702576,mice,mice_17,medium,tcp,42,5203,2,1,20,0,0,0.0,1.001,1.001,20.949,0,,,srte_dynamic,policy_r1_h2_v3,path_b,r1-r3-r4
