actual_start_ts,actual_end_ts,actual_start_epoch_ms,actual_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,planned_start_s,planned_end_s,port,duration_s,parallel,target_bitrate_mbps,rc,throughput_mbps,jitter_ms,lost_percent,retransmits,start_mode,start_active_policy,start_policy_id,start_candidate_path_id,start_policy_seq,start_decision_id,start_cooldown_active,start_elephant_path_hint,start_topk_rank,start_ingress_node,start_controller_epoch_s,end_mode,end_active_policy,end_policy_id,end_candidate_path_id,end_policy_seq,end_decision_id,end_cooldown_active,end_elephant_path_hint,end_topk_rank,end_ingress_node,end_controller_epoch_s,raw_json_path,start_state_snapshot,end_state_snapshot
2026-04-05T14:14:39.403,2026-04-05T14:14:41.592,1775369679406,1775369681598,mice,mice_0,medium,tcp,42,2,4,5202,2,1,20,0,20.432,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_0.json,data/state_snapshots_20260405_141434/mice_0_start.json,data/state_snapshots_20260405_141434/mice_0_end.json
2026-04-05T14:14:42.425,2026-04-05T14:14:43.582,1775369682426,1775369683584,mice,mice_1,medium,tcp,42,5,6,5202,1,1,20,0,20.943,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_1.json,data/state_snapshots_20260405_141434/mice_1_start.json,data/state_snapshots_20260405_141434/mice_1_end.json
2026-04-05T14:14:46.452,2026-04-05T14:14:47.598,1775369686454,1775369687600,mice,mice_3,medium,tcp,42,9,10,5203,1,1,20,0,20.940,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_3.json,data/state_snapshots_20260405_141434/mice_3_start.json,data/state_snapshots_20260405_141434/mice_3_end.json
2026-04-05T14:14:45.446,2026-04-05T14:14:48.672,1775369685448,1775369688674,mice,mice_2,medium,tcp,42,8,11,5202,3,1,20,0,20.258,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_2.json,data/state_snapshots_20260405_141434/mice_2_start.json,data/state_snapshots_20260405_141434/mice_2_end.json
2026-04-05T14:14:47.459,2026-04-05T14:14:49.631,1775369687461,1775369689633,mice,mice_4,medium,tcp,42,10,12,5204,2,1,20,0,20.434,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_4.json,data/state_snapshots_20260405_141434/mice_4_start.json,data/state_snapshots_20260405_141434/mice_4_end.json
2026-04-05T14:14:48.468,2026-04-05T14:14:51.606,1775369688470,1775369691607,mice,mice_5,medium,tcp,42,11,14,5203,3,1,20,0,20.263,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_5.json,data/state_snapshots_20260405_141434/mice_5_start.json,data/state_snapshots_20260405_141434/mice_5_end.json
2026-04-05T14:14:49.475,2026-04-05T14:14:52.685,1775369689476,1775369692687,mice,mice_6,medium,tcp,42,12,15,5202,3,1,20,0,20.244,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_6.json,data/state_snapshots_20260405_141434/mice_6_start.json,data/state_snapshots_20260405_141434/mice_6_end.json
2026-04-05T14:14:50.483,2026-04-05T14:14:53.738,1775369690486,1775369693740,mice,mice_7,medium,tcp,42,13,16,5204,3,1,20,0,20.260,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_7.json,data/state_snapshots_20260405_141434/mice_7_start.json,data/state_snapshots_20260405_141434/mice_7_end.json
2026-04-05T14:14:51.490,2026-04-05T14:14:54.635,1775369691492,1775369694638,mice,mice_8,medium,tcp,42,14,17,5205,3,1,20,0,20.263,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_8.json,data/state_snapshots_20260405_141434/mice_8_start.json,data/state_snapshots_20260405_141434/mice_8_end.json
2026-04-05T14:14:52.496,2026-04-05T14:14:54.753,1775369692498,1775369694755,mice,mice_9,medium,tcp,42,15,17,5203,2,1,20,0,20.434,,,0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,dynamic,srte_dynamic,policy_r1_h2_v3,path_b,12,dec_20260405_0007,1,r1-r3-r4,1,r1,605.0,data/iperf_json_20260405_141434/mice_9.json,data/state_snapshots_20260405_141434/mice_9_start.json,data/state_snapshots_20260405_141434/mice_9_end.json
