timestamp,wall_time_epoch_ms,sample_id,experiment_id,elapsed_s,dt_s,state_read_ok,mode,traffic_profile,active_policy,policy_id,candidate_path_id,policy_seq,decision_id,reroute_event,cooldown_active,event,event_ts,cooldown_until,elephant_path_hint,elephant_flow_id,elephant_topk_rank,ingress_node,segment_list,controller_epoch_s,gain_mlu_pct,gain_rtt_ms,policy_seq_delta,policy_changed,decision_changed,path_changed,controller_lag_s
2026-04-06T11:08:11.188,1775444891188,0,exp_igp_run1,0.001,0.001,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,1,1,1,
2026-04-06T11:08:13.876,1775444893876,1,exp_igp_run1,2.689,2.687,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
2026-04-06T11:08:16.523,1775444896523,2,exp_igp_run1,5.335,2.647,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
2026-04-06T11:08:19.182,1775444899182,3,exp_igp_run1,7.995,2.659,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
2026-04-06T11:08:21.872,1775444901872,4,exp_igp_run1,10.685,2.691,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
2026-04-06T11:08:24.605,1775444904605,5,exp_igp_run1,13.417,2.732,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
2026-04-06T11:08:27.476,1775444907476,6,exp_igp_run1,16.289,2.872,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
2026-04-06T11:08:30.305,1775444910305,7,exp_igp_run1,19.118,2.828,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
2026-04-06T11:08:33.000,1775444913000,8,exp_igp_run1,21.813,2.695,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
2026-04-06T11:08:35.821,1775444915821,9,exp_igp_run1,24.634,2.821,1,igp,medium,igp,igp_default,igp_shortest,0,igp_baseline,0,0,none,,,igp,,,r1,,0,,,0,0,0,0,
