timestamp,wall_time_epoch_ms,sample_id,experiment_id,elapsed_s,dt_s,probe_label,ping_src,ping_dst,ping_cmd_ok,ping_ok,ping_sent,ping_received,ping_reply_count,ping_loss_pct,ping_rtts_ms,ping_rtt_min_ms,ping_rtt_avg_ms,ping_rtt_max_ms,ping_rtt_mdev_ms,ping_rtt_p50_ms,ping_rtt_p95_ms,ping_rtt_p99_ms
2026-04-06T12:11:18.066,1775448678066,0,exp_ml_run1,0.001,0.001,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.120;0.119;0.097;0.077;0.153,0.077,0.113,0.153,0.025,0.119,0.146,0.152
2026-04-06T12:11:18.066,1775448678066,0,exp_ml_run1,0.001,0.001,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.114;0.080;0.066;0.070;0.138,0.066,0.093,0.138,0.027,0.08,0.133,0.137
2026-04-06T12:11:20.740,1775448680740,1,exp_ml_run1,2.676,2.674,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.096;0.069;0.062;0.078;0.068,0.062,0.074,0.096,0.011,0.069,0.092,0.095
2026-04-06T12:11:20.740,1775448680740,1,exp_ml_run1,2.676,2.674,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.081;0.110;0.078;0.071;0.131,0.071,0.094,0.131,0.022,0.081,0.127,0.13
2026-04-06T12:11:23.371,1775448683371,2,exp_ml_run1,5.307,2.631,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.072;0.074;0.069;0.090;0.062,0.062,0.073,0.09,0.009,0.072,0.087,0.089
2026-04-06T12:11:23.371,1775448683371,2,exp_ml_run1,5.307,2.631,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.112;0.086;0.072;0.078;0.054,0.054,0.08,0.112,0.019,0.078,0.107,0.111
2026-04-06T12:11:26.017,1775448686017,3,exp_ml_run1,7.953,2.646,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.095;0.035;0.039;0.041;0.039,0.035,0.049,0.095,0.022,0.039,0.084,0.093
2026-04-06T12:11:26.017,1775448686017,3,exp_ml_run1,7.953,2.646,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.053;0.085;0.092;0.047;0.069,0.047,0.069,0.092,0.017,0.069,0.091,0.092
2026-04-06T12:11:28.856,1775448688856,4,exp_ml_run1,10.792,2.839,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.057;0.041;0.082;0.068;0.103,0.041,0.07,0.103,0.021,0.068,0.099,0.102
2026-04-06T12:11:28.856,1775448688856,4,exp_ml_run1,10.792,2.839,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.084;0.064;0.084;0.078;0.167,0.064,0.095,0.167,0.036,0.084,0.15,0.164
2026-04-06T12:11:31.529,1775448691529,5,exp_ml_run1,13.465,2.673,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.058;0.088;0.068;0.054;0.044,0.044,0.062,0.088,0.014,0.058,0.084,0.087
2026-04-06T12:11:31.529,1775448691529,5,exp_ml_run1,13.465,2.673,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.052;0.068;0.035;0.057;0.049,0.035,0.052,0.068,0.01,0.052,0.066,0.068
2026-04-06T12:11:34.184,1775448694184,6,exp_ml_run1,16.12,2.655,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.099;0.039;0.035;0.069;0.056,0.035,0.059,0.099,0.023,0.056,0.093,0.098
2026-04-06T12:11:34.184,1775448694184,6,exp_ml_run1,16.12,2.655,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.060;0.050;0.041;0.091;0.047,0.041,0.057,0.091,0.017,0.05,0.085,0.09
2026-04-06T12:11:36.946,1775448696946,7,exp_ml_run1,18.881,2.762,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.077;0.055;0.178;0.216;0.054,0.054,0.116,0.216,0.067,0.077,0.208,0.214
2026-04-06T12:11:36.946,1775448696946,7,exp_ml_run1,18.881,2.762,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.056;0.038;0.049;0.034;0.046,0.034,0.044,0.056,0.007,0.046,0.055,0.056
2026-04-06T12:11:39.659,1775448699659,8,exp_ml_run1,21.595,2.714,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.129;0.208;0.790;0.301;0.260,0.129,0.337,0.79,0.233,0.26,0.692,0.77
2026-04-06T12:11:39.659,1775448699659,8,exp_ml_run1,21.595,2.714,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.114;0.282;0.182;0.102;0.081,0.081,0.152,0.282,0.073,0.114,0.262,0.278
2026-04-06T12:11:42.812,1775448702812,9,exp_ml_run1,24.747,3.152,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.116;0.061;0.060;0.090;0.158,0.06,0.097,0.158,0.036,0.09,0.15,0.156
2026-04-06T12:11:42.812,1775448702812,9,exp_ml_run1,24.747,3.152,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.652;0.074;0.065;0.071;0.895,0.065,0.351,0.895,0.353,0.074,0.846,0.885
2026-04-06T12:11:46.362,1775448706362,10,exp_ml_run1,28.298,3.551,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.280;0.115;0.069;0.054;0.065,0.054,0.116,0.28,0.084,0.069,0.247,0.273
2026-04-06T12:11:46.362,1775448706362,10,exp_ml_run1,28.298,3.551,h2_to_h1,clab-srte8-h2,192.168.1.2,1,1,5,5,5,0.0,0.131;0.077;0.406;0.065;0.043,0.043,0.144,0.406,0.133,0.077,0.351,0.395
2026-04-06T12:11:49.556,1775448709556,11,exp_ml_run1,31.492,3.194,h1_to_h2,clab-srte8-h1,192.168.8.2,1,1,5,5,5,0.0,0.107;0.090;0.067;0.124;0.365,0.067,0.15,0.365,0.108,0.107,0.317,0.355
