interval_start_ts,interval_end_ts,interval_start_epoch_ms,interval_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,rc,interval_index,interval_start_s,interval_end_s,interval_seconds,throughput_mbps,retransmits,jitter_ms,lost_percent,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint
2026-04-06T11:08:16.978+08:00,2026-04-06T11:08:17.979+08:00,1775444896978,1775444897979,mice,mice_0,medium,tcp,42,5202,2,1,20,0,0,0.0,1.001,1.001,20.949,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:17.979+08:00,2026-04-06T11:08:18.979+08:00,1775444897979,1775444898979,mice,mice_0,medium,tcp,42,5202,2,1,20,0,1,1.001,2.001,1.0,19.916,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:20.002+08:00,2026-04-06T11:08:21.003+08:00,1775444900002,1775444901003,mice,mice_1,medium,tcp,42,5202,1,1,20,0,0,0.0,1.001,1.001,20.944,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:23.226+08:00,2026-04-06T11:08:24.227+08:00,1775444903226,1775444904227,mice,mice_3,medium,tcp,42,5203,1,1,20,0,0,0.0,1.001,1.001,20.945,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:22.219+08:00,2026-04-06T11:08:23.219+08:00,1775444902219,1775444903219,mice,mice_2,medium,tcp,42,5202,3,1,20,0,0,0.0,1.0,1.0,20.963,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:23.219+08:00,2026-04-06T11:08:24.219+08:00,1775444903219,1775444904219,mice,mice_2,medium,tcp,42,5202,3,1,20,0,1,1.0,2.0,1.0,19.927,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:24.219+08:00,2026-04-06T11:08:25.220+08:00,1775444904219,1775444905220,mice,mice_2,medium,tcp,42,5202,3,1,20,0,2,2.0,3.001,1.0,19.914,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:24.243+08:00,2026-04-06T11:08:25.243+08:00,1775444904243,1775444905243,mice,mice_4,medium,tcp,42,5204,2,1,20,0,0,0.0,1.0,1.0,20.966,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:25.243+08:00,2026-04-06T11:08:26.244+08:00,1775444905243,1775444906244,mice,mice_4,medium,tcp,42,5204,2,1,20,0,1,1.0,2.001,1.001,19.91,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:25.244+08:00,2026-04-06T11:08:26.245+08:00,1775444905244,1775444906245,mice,mice_5,medium,tcp,42,5203,3,1,20,0,0,0.0,1.001,1.001,20.944,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:26.245+08:00,2026-04-06T11:08:27.245+08:00,1775444906245,1775444907245,mice,mice_5,medium,tcp,42,5203,3,1,20,0,1,1.001,2.001,1.0,19.926,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:27.245+08:00,2026-04-06T11:08:28.246+08:00,1775444907245,1775444908246,mice,mice_5,medium,tcp,42,5203,3,1,20,0,2,2.001,3.002,1.0,19.914,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:26.251+08:00,2026-04-06T11:08:27.252+08:00,1775444906251,1775444907252,mice,mice_6,medium,tcp,42,5202,3,1,20,0,0,0.0,1.001,1.001,20.942,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:27.252+08:00,2026-04-06T11:08:28.252+08:00,1775444907252,1775444908252,mice,mice_6,medium,tcp,42,5202,3,1,20,0,1,1.001,2.001,1.0,19.93,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:28.252+08:00,2026-04-06T11:08:29.252+08:00,1775444908252,1775444909252,mice,mice_6,medium,tcp,42,5202,3,1,20,0,2,2.001,3.001,1.0,19.922,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:27.258+08:00,2026-04-06T11:08:28.258+08:00,1775444907258,1775444908258,mice,mice_7,medium,tcp,42,5204,3,1,20,0,0,0.0,1.0,1.0,20.967,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:28.258+08:00,2026-04-06T11:08:29.259+08:00,1775444908258,1775444909259,mice,mice_7,medium,tcp,42,5204,3,1,20,0,1,1.0,2.001,1.001,19.906,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:29.259+08:00,2026-04-06T11:08:30.259+08:00,1775444909259,1775444910259,mice,mice_7,medium,tcp,42,5204,3,1,20,0,2,2.001,3.001,1.0,19.919,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:29.278+08:00,2026-04-06T11:08:30.279+08:00,1775444909278,1775444910279,mice,mice_9,medium,tcp,42,5203,2,1,20,0,0,0.0,1.001,1.001,20.955,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:30.279+08:00,2026-04-06T11:08:31.280+08:00,1775444910279,1775444911280,mice,mice_9,medium,tcp,42,5203,2,1,20,0,1,1.001,2.002,1.001,19.907,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:28.271+08:00,2026-04-06T11:08:29.271+08:00,1775444908271,1775444909271,mice,mice_8,medium,tcp,42,5205,3,1,20,0,0,0.0,1.0,1.0,20.967,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:29.271+08:00,2026-04-06T11:08:30.271+08:00,1775444909271,1775444910271,mice,mice_8,medium,tcp,42,5205,3,1,20,0,1,1.0,2.0,1.0,19.923,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:30.271+08:00,2026-04-06T11:08:31.271+08:00,1775444910271,1775444911271,mice,mice_8,medium,tcp,42,5205,3,1,20,0,2,2.0,3.0,1.0,19.918,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:31.291+08:00,2026-04-06T11:08:32.291+08:00,1775444911291,1775444912291,mice,mice_11,medium,tcp,42,5204,2,1,20,0,0,0.0,1.0,1.0,20.963,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:32.291+08:00,2026-04-06T11:08:33.292+08:00,1775444912291,1775444913292,mice,mice_11,medium,tcp,42,5204,2,1,20,0,1,1.0,2.001,1.001,19.912,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:32.298+08:00,2026-04-06T11:08:33.299+08:00,1775444912298,1775444913299,mice,mice_12,medium,tcp,42,5203,1,1,20,0,0,0.0,1.001,1.001,20.945,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:30.286+08:00,2026-04-06T11:08:31.287+08:00,1775444910286,1775444911287,mice,mice_10,medium,tcp,42,5202,3,1,20,0,0,0.0,1.001,1.001,20.948,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:31.287+08:00,2026-04-06T11:08:32.287+08:00,1775444911287,1775444912287,mice,mice_10,medium,tcp,42,5202,3,1,20,0,1,1.001,2.001,1.0,19.922,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:32.287+08:00,2026-04-06T11:08:33.287+08:00,1775444912287,1775444913287,mice,mice_10,medium,tcp,42,5202,3,1,20,0,2,2.001,3.001,1.0,19.92,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:34.317+08:00,2026-04-06T11:08:35.318+08:00,1775444914317,1775444915318,mice,mice_14,medium,tcp,42,5202,1,1,20,0,0,0.0,1.001,1.001,20.946,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:33.305+08:00,2026-04-06T11:08:34.306+08:00,1775444913305,1775444914306,mice,mice_13,medium,tcp,42,5205,3,1,20,0,0,0.0,1.001,1.001,20.948,0,,,igp,igp_default,igp_shortest,igp
2026-04-06T11:08:34.306+08:00,2026-04-06T11:08:35.306+08:00,1775444914306,1775444915306,mice,mice_13,medium,tcp,42,5205,3,1,20,0,1,1.001,2.001,1.0,19.923,0,,,igp,igp_default,igp_shortest,igp
