run_key,window_index,window_start_epoch_ms,window_end_epoch_ms,window_start_ts,window_end_ts,decision_window_s,elephant_flow_count,elephant_active_flow_count,total_elephant_mbits,top1_elephant_mbits,topk_elephant_mbits,top1_share_pct,topk_share_pct,total_retransmits
20260406_114038,18,1775447925789,1775447985789,2026-04-06T11:58:45.789+08:00,2026-04-06T11:59:45.789+08:00,60,3,3,32392.872,16198.788,32392.872,50.007,100.0,1.0
20260406_114038,19,1775447985789,1775448045789,2026-04-06T11:59:45.789+08:00,2026-04-06T12:00:45.789+08:00,60,3,3,32388.694,16199.742,32388.694,50.017,100.0,0.0
20260406_114038,20,1775448045789,1775448105789,2026-04-06T12:00:45.789+08:00,2026-04-06T12:01:45.789+08:00,60,3,3,32397.88,16198.861,32397.88,50.0,100.0,0.0
20260406_114038,21,1775448105789,1775448165789,2026-04-06T12:01:45.789+08:00,2026-04-06T12:02:45.789+08:00,60,3,3,32396.261,16197.865,32396.261,49.999,100.0,39.0
20260406_114038,22,1775448165789,1775448225789,2026-04-06T12:02:45.789+08:00,2026-04-06T12:03:45.789+08:00,60,3,3,32398.783,16199.022,32398.783,49.999,100.0,0.0
20260406_114038,23,1775448225789,1775448285789,2026-04-06T12:03:45.789+08:00,2026-04-06T12:04:45.789+08:00,60,2,2,31496.591,16199.212,31496.591,51.432,100.0,0.0
20260406_114038,24,1775448285789,1775448345789,2026-04-06T12:04:45.789+08:00,2026-04-06T12:05:45.789+08:00,60,2,2,32395.449,16198.386,32395.449,50.002,100.0,0.0
20260406_114038,25,1775448345789,1775448405789,2026-04-06T12:05:45.789+08:00,2026-04-06T12:06:45.789+08:00,60,3,3,33299.885,16198.672,33299.885,48.645,100.0,0.0
20260406_114038,26,1775448405789,1775448465789,2026-04-06T12:06:45.789+08:00,2026-04-06T12:07:45.789+08:00,60,3,3,32400.931,16199.782,32400.931,49.998,100.0,0.0
20260406_114038,27,1775448465789,1775448525789,2026-04-06T12:07:45.789+08:00,2026-04-06T12:08:45.789+08:00,60,3,3,32396.637,16198.718,32396.637,50.001,100.0,9.0
20260406_114038,28,1775448525789,1775448585789,2026-04-06T12:08:45.789+08:00,2026-04-06T12:09:45.789+08:00,60,2,2,31495.715,16198.944,31495.715,51.432,100.0,5.0
20260406_114038,29,1775448585789,1775448645789,2026-04-06T12:09:45.789+08:00,2026-04-06T12:10:45.789+08:00,60,2,2,32397.775,16200.024,32397.775,50.004,100.0,0.0
