run_key,window_index,window_start_epoch_ms,window_end_epoch_ms,window_start_ts,window_end_ts,decision_window_s,elephant_flow_count,elephant_active_flow_count,total_elephant_mbits,top1_elephant_mbits,topk_elephant_mbits,top1_share_pct,topk_share_pct,total_retransmits
20260406_114038,0,1775446845789,1775446905789,2026-04-06T11:40:45.789+08:00,2026-04-06T11:41:45.789+08:00,60,3,3,33293.343,16196.186,33293.343,48.647,100.0,0.0
20260406_114038,1,1775446905789,1775446965789,2026-04-06T11:41:45.789+08:00,2026-04-06T11:42:45.789+08:00,60,3,3,32399.776,16200.406,32399.776,50.002,100.0,0.0
20260406_114038,2,1775446965789,1775447025789,2026-04-06T11:42:45.789+08:00,2026-04-06T11:43:45.789+08:00,60,3,3,32396.419,16199.744,32396.419,50.005,100.0,0.0
20260406_114038,3,1775447025789,1775447085789,2026-04-06T11:43:45.789+08:00,2026-04-06T11:44:45.789+08:00,60,2,2,31485.995,16191.642,31485.995,51.425,100.0,20.0
20260406_114038,4,1775447085789,1775447145789,2026-04-06T11:44:45.789+08:00,2026-04-06T11:45:45.789+08:00,60,3,3,33299.491,16198.647,33299.491,48.645,100.0,2.0
20260406_114038,5,1775447145789,1775447205789,2026-04-06T11:45:45.789+08:00,2026-04-06T11:46:45.789+08:00,60,3,3,32397.131,16197.603,32397.131,49.997,100.0,8.0
20260406_114038,6,1775447205789,1775447265789,2026-04-06T11:46:45.789+08:00,2026-04-06T11:47:45.789+08:00,60,3,3,32398.869,16202.177,32398.869,50.008,100.0,0.0
20260406_114038,7,1775447265789,1775447325789,2026-04-06T11:47:45.789+08:00,2026-04-06T11:48:45.789+08:00,60,3,3,32397.299,16200.479,32397.299,50.006,100.0,41.0
20260406_114038,8,1775447325789,1775447385789,2026-04-06T11:48:45.789+08:00,2026-04-06T11:49:45.789+08:00,60,3,3,32397.999,16199.977,32397.999,50.003,100.0,7.0
20260406_114038,9,1775447385789,1775447445789,2026-04-06T11:49:45.789+08:00,2026-04-06T11:50:45.789+08:00,60,3,3,32397.345,16197.388,32397.345,49.996,100.0,4.0
20260406_114038,10,1775447445789,1775447505789,2026-04-06T11:50:45.789+08:00,2026-04-06T11:51:45.789+08:00,60,3,3,32394.563,16199.847,32394.563,50.008,100.0,2.0
20260406_114038,11,1775447505789,1775447565789,2026-04-06T11:51:45.789+08:00,2026-04-06T11:52:45.789+08:00,60,3,3,32375.332,16196.113,32375.332,50.026,100.0,19.0
20260406_114038,12,1775447565789,1775447625789,2026-04-06T11:52:45.789+08:00,2026-04-06T11:53:45.789+08:00,60,2,2,31471.772,16177.544,31471.772,51.403,100.0,45.0
20260406_114038,13,1775447625789,1775447685789,2026-04-06T11:53:45.789+08:00,2026-04-06T11:54:45.789+08:00,60,3,3,33293.355,16196.049,33293.355,48.646,100.0,6.0
20260406_114038,14,1775447685789,1775447745789,2026-04-06T11:54:45.789+08:00,2026-04-06T11:55:45.789+08:00,60,3,3,32400.12,16199.873,32400.12,49.999,100.0,0.0
20260406_114038,15,1775447745789,1775447805789,2026-04-06T11:55:45.789+08:00,2026-04-06T11:56:45.789+08:00,60,3,3,32395.355,16197.964,32395.355,50.001,100.0,0.0
20260406_114038,16,1775447805789,1775447865789,2026-04-06T11:56:45.789+08:00,2026-04-06T11:57:45.789+08:00,60,3,3,32397.258,16198.593,32397.258,50.0,100.0,0.0
20260406_114038,17,1775447865789,1775447925789,2026-04-06T11:57:45.789+08:00,2026-04-06T11:58:45.789+08:00,60,3,3,32395.096,16198.119,32395.096,50.002,100.0,1.0
