timestamp,wall_time_epoch_ms,sample_id,experiment_id,elapsed_s,dt_s,state_read_ok,mode,traffic_profile,active_policy,policy_id,candidate_path_id,policy_seq,decision_id,reroute_event,cooldown_active,event,event_ts,cooldown_until,elephant_path_hint,elephant_flow_id,elephant_topk_rank,ingress_node,segment_list,controller_epoch_s,gain_mlu_pct,gain_rtt_ms,policy_seq_delta,policy_changed,decision_changed,path_changed,controller_lag_s
2026-04-06T12:12:20.238,1775448740238,21,exp_ml_run1,62.174,3.165,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:23.226,1775448743226,22,exp_ml_run1,65.162,2.987,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:26.184,1775448746184,23,exp_ml_run1,68.12,2.959,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:29.785,1775448749785,24,exp_ml_run1,71.721,3.601,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:33.286,1775448753286,25,exp_ml_run1,75.222,3.501,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:37.867,1775448757867,26,exp_ml_run1,79.803,4.581,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:42.397,1775448762397,27,exp_ml_run1,84.332,4.53,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:46.342,1775448766342,28,exp_ml_run1,88.278,3.946,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:49.254,1775448769255,29,exp_ml_run1,91.19,2.912,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:52.226,1775448772226,30,exp_ml_run1,94.161,2.971,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
