run_key,window_index,window_start_epoch_ms,window_end_epoch_ms,window_start_ts,window_end_ts,decision_window_s,elephant_flow_count,elephant_active_flow_count,total_elephant_mbits,top1_elephant_mbits,topk_elephant_mbits,top1_share_pct,topk_share_pct,total_retransmits
20260406_110812,0,1775444900000,1775444960000,2026-04-06T11:08:20.000+08:00,2026-04-06T11:09:20.000+08:00,60,3,3,33297.671,16200.436,33297.671,48.653,100.0,6.0
20260406_110812,1,1775444960000,1775445020000,2026-04-06T11:09:20.000+08:00,2026-04-06T11:10:20.000+08:00,60,2,2,16198.393,15295.441,16198.393,94.426,100.0,1.0
20260406_110812,2,1775445020000,1775445080000,2026-04-06T11:10:20.000+08:00,2026-04-06T11:11:20.000+08:00,60,3,3,32398.515,16201.983,32398.515,50.008,100.0,16.0
20260406_110812,3,1775445080000,1775445140000,2026-04-06T11:11:20.000+08:00,2026-04-06T11:12:20.000+08:00,60,2,2,16196.985,15296.486,16196.985,94.44,100.0,0.0
20260406_110812,4,1775445140000,1775445200000,2026-04-06T11:12:20.000+08:00,2026-04-06T11:13:20.000+08:00,60,3,3,32399.562,16199.807,32399.562,50.0,100.0,0.0
20260406_110812,5,1775445200000,1775445260000,2026-04-06T11:13:20.000+08:00,2026-04-06T11:14:20.000+08:00,60,3,3,32398.488,16200.093,32398.488,50.003,100.0,6.0
20260406_110812,6,1775445260000,1775445320000,2026-04-06T11:14:20.000+08:00,2026-04-06T11:15:20.000+08:00,60,3,3,32401.702,16200.358,32401.702,49.998,100.0,0.0
20260406_110812,7,1775445320000,1775445380000,2026-04-06T11:15:20.000+08:00,2026-04-06T11:16:20.000+08:00,60,3,3,32390.996,16199.299,32390.996,50.012,100.0,0.0
20260406_110812,8,1775445380000,1775445440000,2026-04-06T11:16:20.000+08:00,2026-04-06T11:17:20.000+08:00,60,3,3,32400.61,16199.35,32400.61,49.997,100.0,0.0
20260406_110812,9,1775445440000,1775445500000,2026-04-06T11:17:20.000+08:00,2026-04-06T11:18:20.000+08:00,60,3,3,32395.959,16197.976,32395.959,50.0,100.0,9.0
