run_key,window_index,window_start_epoch_ms,window_end_epoch_ms,window_start_ts,window_end_ts,decision_window_s,elephant_flow_count,elephant_active_flow_count,total_elephant_mbits,top1_elephant_mbits,topk_elephant_mbits,top1_share_pct,topk_share_pct,total_retransmits
20260406_110812,10,1775445500000,1775445560000,2026-04-06T11:18:20.000+08:00,2026-04-06T11:19:20.000+08:00,60,2,2,31493.813,16196.112,31493.813,51.426,100.0,0.0
20260406_110812,11,1775445560000,1775445620000,2026-04-06T11:19:20.000+08:00,2026-04-06T11:20:20.000+08:00,60,3,3,33299.086,16200.033,33299.086,48.65,100.0,0.0
20260406_110812,12,1775445620000,1775445680000,2026-04-06T11:20:20.000+08:00,2026-04-06T11:21:20.000+08:00,60,3,3,32401.135,16200.419,32401.135,50.0,100.0,15.0
20260406_110812,13,1775445680000,1775445740000,2026-04-06T11:21:20.000+08:00,2026-04-06T11:22:20.000+08:00,60,3,3,32399.396,16201.41,32399.396,50.005,100.0,0.0
20260406_110812,14,1775445740000,1775445800000,2026-04-06T11:22:20.000+08:00,2026-04-06T11:23:20.000+08:00,60,3,3,32397.727,16201.88,32397.727,50.009,100.0,13.0
20260406_110812,15,1775445800000,1775445860000,2026-04-06T11:23:20.000+08:00,2026-04-06T11:24:20.000+08:00,60,3,3,32399.589,16200.386,32399.589,50.002,100.0,0.0
20260406_110812,16,1775445860000,1775445920000,2026-04-06T11:24:20.000+08:00,2026-04-06T11:25:20.000+08:00,60,3,3,32394.841,16197.809,32394.841,50.001,100.0,0.0
20260406_110812,17,1775445920000,1775445980000,2026-04-06T11:25:20.000+08:00,2026-04-06T11:26:20.000+08:00,60,3,3,32396.385,16198.219,32396.385,50.0,100.0,0.0
20260406_110812,18,1775445980000,1775446040000,2026-04-06T11:26:20.000+08:00,2026-04-06T11:27:20.000+08:00,60,3,3,32387.292,16192.39,32387.292,49.996,100.0,0.0
20260406_110812,19,1775446040000,1775446100000,2026-04-06T11:27:20.000+08:00,2026-04-06T11:28:20.000+08:00,60,3,3,32401.722,16201.363,32401.722,50.002,100.0,0.0
20260406_110812,20,1775446100000,1775446160000,2026-04-06T11:28:20.000+08:00,2026-04-06T11:29:20.000+08:00,60,3,3,32400.601,16200.707,32400.601,50.001,100.0,0.0
20260406_110812,21,1775446160000,1775446220000,2026-04-06T11:29:20.000+08:00,2026-04-06T11:30:20.000+08:00,60,3,3,32395.248,16194.883,32395.248,49.992,100.0,0.0
20260406_110812,22,1775446220000,1775446280000,2026-04-06T11:30:20.000+08:00,2026-04-06T11:31:20.000+08:00,60,3,3,32397.43,16202.168,32397.43,50.011,100.0,0.0
20260406_110812,23,1775446280000,1775446340000,2026-04-06T11:31:20.000+08:00,2026-04-06T11:32:20.000+08:00,60,3,3,32398.608,16200.097,32398.608,50.002,100.0,0.0
20260406_110812,24,1775446340000,1775446400000,2026-04-06T11:32:20.000+08:00,2026-04-06T11:33:20.000+08:00,60,3,3,32398.418,16198.41,32398.418,49.998,100.0,0.0
20260406_110812,25,1775446400000,1775446460000,2026-04-06T11:33:20.000+08:00,2026-04-06T11:34:20.000+08:00,60,3,3,32397.162,16198.602,32397.162,50.0,100.0,0.0
20260406_110812,26,1775446460000,1775446520000,2026-04-06T11:34:20.000+08:00,2026-04-06T11:35:20.000+08:00,60,3,3,32398.363,16201.719,32398.363,50.008,100.0,0.0
20260406_110812,27,1775446520000,1775446580000,2026-04-06T11:35:20.000+08:00,2026-04-06T11:36:20.000+08:00,60,3,3,32396.229,16199.11,32396.229,50.003,100.0,0.0
20260406_110812,28,1775446580000,1775446640000,2026-04-06T11:36:20.000+08:00,2026-04-06T11:37:20.000+08:00,60,3,3,32397.393,16199.004,32397.393,50.001,100.0,0.0
20260406_110812,29,1775446640000,1775446700000,2026-04-06T11:37:20.000+08:00,2026-04-06T11:38:20.000+08:00,60,2,2,31495.448,16196.77,31495.448,51.426,100.0,0.0
