run_key,window_index,window_start_epoch_ms,window_end_epoch_ms,window_start_ts,window_end_ts,decision_window_s,event_id,rank,flow_type,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint,interval_count,active_seconds,transferred_mbits,throughput_mbps_mean,throughput_mbps_peak,retransmits_sum,loss_pct_mean,jitter_ms_mean,flow_share_pct,cumulative_share_pct,window_elephant_flow_count,window_total_elephant_mbits,window_topk_elephant_mbits,window_topk_share_pct
20260406_110812,5,1775445200000,1775445260000,2026-04-06T11:13:20.000+08:00,2026-04-06T11:14:20.000+08:00,60,elephant_10,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.897,901.995,901.995,0.0,0.0,0.0,2.787,100.0,3,32398.488,32398.488,100.0
20260406_110812,6,1775445260000,1775445320000,2026-04-06T11:14:20.000+08:00,2026-04-06T11:15:20.000+08:00,60,elephant_11,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16200.358,899.97,902.055,0.0,0.0,0.0,49.998,49.998,3,32401.702,32401.702,100.0
20260406_110812,6,1775445260000,1775445320000,2026-04-06T11:14:20.000+08:00,2026-04-06T11:15:20.000+08:00,60,elephant_10,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15298.134,899.89,901.774,0.0,0.0,0.0,47.214,97.212,3,32401.702,32401.702,100.0
20260406_110812,6,1775445260000,1775445320000,2026-04-06T11:14:20.000+08:00,2026-04-06T11:15:20.000+08:00,60,elephant_12,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,903.21,902.308,902.308,0.0,0.0,0.0,2.788,100.0,3,32401.702,32401.702,100.0
20260406_110812,7,1775445320000,1775445380000,2026-04-06T11:15:20.000+08:00,2026-04-06T11:16:20.000+08:00,60,elephant_13,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16199.299,899.911,901.834,0.0,0.0,0.0,50.012,50.012,3,32390.996,32390.996,100.0
20260406_110812,7,1775445320000,1775445380000,2026-04-06T11:15:20.000+08:00,2026-04-06T11:16:20.000+08:00,60,elephant_12,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,16.997,15288.923,899.507,901.765,0.0,0.0,0.0,47.201,97.213,3,32390.996,32390.996,100.0
20260406_110812,7,1775445320000,1775445380000,2026-04-06T11:15:20.000+08:00,2026-04-06T11:16:20.000+08:00,60,elephant_14,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.775,901.873,901.873,0.0,0.0,0.0,2.787,100.0,3,32390.996,32390.996,100.0
20260406_110812,8,1775445380000,1775445440000,2026-04-06T11:16:20.000+08:00,2026-04-06T11:17:20.000+08:00,60,elephant_15,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16199.35,899.914,901.991,0.0,0.0,0.0,49.997,49.997,3,32400.61,32400.61,100.0
20260406_110812,8,1775445380000,1775445440000,2026-04-06T11:16:20.000+08:00,2026-04-06T11:17:20.000+08:00,60,elephant_14,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15298.504,899.912,902.137,0.0,0.0,0.0,47.217,97.214,3,32400.61,32400.61,100.0
20260406_110812,8,1775445380000,1775445440000,2026-04-06T11:16:20.000+08:00,2026-04-06T11:17:20.000+08:00,60,elephant_16,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.757,901.855,901.855,0.0,0.0,0.0,2.786,100.0,3,32400.61,32400.61,100.0
20260406_110812,9,1775445440000,1775445500000,2026-04-06T11:17:20.000+08:00,2026-04-06T11:18:20.000+08:00,60,elephant_17,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16197.976,899.838,907.44,7.0,0.0,0.0,50.0,50.0,3,32395.959,32395.959,100.0
20260406_110812,9,1775445440000,1775445500000,2026-04-06T11:17:20.000+08:00,2026-04-06T11:18:20.000+08:00,60,elephant_16,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15295.239,899.72,902.01,2.0,0.0,0.0,47.213,97.213,3,32395.959,32395.959,100.0
20260406_110812,9,1775445440000,1775445500000,2026-04-06T11:17:20.000+08:00,2026-04-06T11:18:20.000+08:00,60,elephant_18,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.744,901.842,901.842,0.0,0.0,0.0,2.787,100.0,3,32395.959,32395.959,100.0
20260406_110812,10,1775445500000,1775445560000,2026-04-06T11:18:20.000+08:00,2026-04-06T11:19:20.000+08:00,60,elephant_19,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.002,16196.112,899.684,901.83,0.0,0.0,0.0,51.426,51.426,2,31493.813,31493.813,100.0
20260406_110812,10,1775445500000,1775445560000,2026-04-06T11:18:20.000+08:00,2026-04-06T11:19:20.000+08:00,60,elephant_18,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15297.701,899.865,901.855,0.0,0.0,0.0,48.574,100.0,2,31493.813,31493.813,100.0
20260406_110812,11,1775445560000,1775445620000,2026-04-06T11:19:20.000+08:00,2026-04-06T11:20:20.000+08:00,60,elephant_21,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16200.033,899.952,903.44,0.0,0.0,0.0,48.65,48.65,3,33299.086,33299.086,100.0
20260406_110812,11,1775445560000,1775445620000,2026-04-06T11:19:20.000+08:00,2026-04-06T11:20:20.000+08:00,60,elephant_20,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.0,16196.148,899.786,901.883,0.0,0.0,0.0,48.638,97.288,3,33299.086,33299.086,100.0
20260406_110812,11,1775445560000,1775445620000,2026-04-06T11:19:20.000+08:00,2026-04-06T11:20:20.000+08:00,60,elephant_22,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.905,902.003,902.003,0.0,0.0,0.0,2.712,100.0,3,33299.086,33299.086,100.0
20260406_110812,12,1775445620000,1775445680000,2026-04-06T11:20:20.000+08:00,2026-04-06T11:21:20.000+08:00,60,elephant_23,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16200.419,899.973,902.219,0.0,0.0,0.0,50.0,50.0,3,32401.135,32401.135,100.0
20260406_110812,12,1775445620000,1775445680000,2026-04-06T11:20:20.000+08:00,2026-04-06T11:21:20.000+08:00,60,elephant_22,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15297.958,899.827,901.779,15.0,0.0,0.0,47.214,97.214,3,32401.135,32401.135,100.0
20260406_110812,12,1775445620000,1775445680000,2026-04-06T11:20:20.000+08:00,2026-04-06T11:21:20.000+08:00,60,elephant_24,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.758,901.856,901.856,0.0,0.0,0.0,2.786,100.0,3,32401.135,32401.135,100.0
20260406_110812,13,1775445680000,1775445740000,2026-04-06T11:21:20.000+08:00,2026-04-06T11:22:20.000+08:00,60,elephant_25,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16201.41,900.028,902.002,0.0,0.0,0.0,50.005,50.005,3,32399.396,32399.396,100.0
20260406_110812,13,1775445680000,1775445740000,2026-04-06T11:21:20.000+08:00,2026-04-06T11:22:20.000+08:00,60,elephant_24,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15294.859,899.645,901.755,0.0,0.0,0.0,47.207,97.213,3,32399.396,32399.396,100.0
20260406_110812,13,1775445680000,1775445740000,2026-04-06T11:21:20.000+08:00,2026-04-06T11:22:20.000+08:00,60,elephant_26,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,903.127,902.225,902.225,0.0,0.0,0.0,2.787,100.0,3,32399.396,32399.396,100.0
20260406_110812,14,1775445740000,1775445800000,2026-04-06T11:22:20.000+08:00,2026-04-06T11:23:20.000+08:00,60,elephant_27,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.002,16201.88,900.004,902.822,13.0,0.0,0.0,50.009,50.009,3,32397.727,32397.727,100.0
20260406_110812,14,1775445740000,1775445800000,2026-04-06T11:22:20.000+08:00,2026-04-06T11:23:20.000+08:00,60,elephant_26,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15293.069,899.592,901.674,0.0,0.0,0.0,47.204,97.213,3,32397.727,32397.727,100.0
20260406_110812,14,1775445740000,1775445800000,2026-04-06T11:22:20.000+08:00,2026-04-06T11:23:20.000+08:00,60,elephant_28,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.778,901.876,901.876,0.0,0.0,0.0,2.787,100.0,3,32397.727,32397.727,100.0
20260406_110812,15,1775445800000,1775445860000,2026-04-06T11:23:20.000+08:00,2026-04-06T11:24:20.000+08:00,60,elephant_29,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.003,16200.386,899.871,902.058,0.0,0.0,0.0,50.002,50.002,3,32399.589,32399.589,100.0
20260406_110812,15,1775445800000,1775445860000,2026-04-06T11:23:20.000+08:00,2026-04-06T11:24:20.000+08:00,60,elephant_28,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15296.475,899.793,901.799,0.0,0.0,0.0,47.212,97.214,3,32399.589,32399.589,100.0
20260406_110812,15,1775445800000,1775445860000,2026-04-06T11:23:20.000+08:00,2026-04-06T11:24:20.000+08:00,60,elephant_30,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.728,901.826,901.826,0.0,0.0,0.0,2.786,100.0,3,32399.589,32399.589,100.0
20260406_110812,16,1775445860000,1775445920000,2026-04-06T11:24:20.000+08:00,2026-04-06T11:25:20.000+08:00,60,elephant_31,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.002,16197.809,899.778,901.854,0.0,0.0,0.0,50.001,50.001,3,32394.841,32394.841,100.0
20260406_110812,16,1775445860000,1775445920000,2026-04-06T11:24:20.000+08:00,2026-04-06T11:25:20.000+08:00,60,elephant_30,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,16.999,15295.407,899.783,902.524,0.0,0.0,0.0,47.216,97.217,3,32394.841,32394.841,100.0
20260406_110812,16,1775445860000,1775445920000,2026-04-06T11:24:20.000+08:00,2026-04-06T11:25:20.000+08:00,60,elephant_32,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.0,901.625,901.625,901.625,0.0,0.0,0.0,2.783,100.0,3,32394.841,32394.841,100.0
20260406_110812,17,1775445920000,1775445980000,2026-04-06T11:25:20.000+08:00,2026-04-06T11:26:20.000+08:00,60,elephant_33,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16198.219,899.851,901.873,0.0,0.0,0.0,50.0,50.0,3,32396.385,32396.385,100.0
20260406_110812,17,1775445920000,1775445980000,2026-04-06T11:25:20.000+08:00,2026-04-06T11:26:20.000+08:00,60,elephant_32,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15295.595,899.688,901.753,0.0,0.0,0.0,47.214,97.214,3,32396.385,32396.385,100.0
20260406_110812,17,1775445920000,1775445980000,2026-04-06T11:25:20.000+08:00,2026-04-06T11:26:20.000+08:00,60,elephant_34,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.0,902.571,902.571,902.571,0.0,0.0,0.0,2.786,100.0,3,32396.385,32396.385,100.0
20260406_110812,18,1775445980000,1775446040000,2026-04-06T11:26:20.000+08:00,2026-04-06T11:27:20.000+08:00,60,elephant_35,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16192.39,899.527,901.855,0.0,0.0,0.0,49.996,49.996,3,32387.292,32387.292,100.0
20260406_110812,18,1775445980000,1775446040000,2026-04-06T11:26:20.000+08:00,2026-04-06T11:27:20.000+08:00,60,elephant_34,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15294.35,899.615,900.681,0.0,0.0,0.0,47.223,97.219,3,32387.292,32387.292,100.0
20260406_110812,18,1775445980000,1775446040000,2026-04-06T11:26:20.000+08:00,2026-04-06T11:27:20.000+08:00,60,elephant_36,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.0,900.552,900.552,900.552,0.0,0.0,0.0,2.781,100.0,3,32387.292,32387.292,100.0
20260406_110812,19,1775446040000,1775446100000,2026-04-06T11:27:20.000+08:00,2026-04-06T11:28:20.000+08:00,60,elephant_37,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.002,16201.363,899.976,902.53,0.0,0.0,0.0,50.002,50.002,3,32401.722,32401.722,100.0
20260406_110812,19,1775446040000,1775446100000,2026-04-06T11:27:20.000+08:00,2026-04-06T11:28:20.000+08:00,60,elephant_36,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15297.639,899.808,901.355,0.0,0.0,0.0,47.212,97.214,3,32401.722,32401.722,100.0
20260406_110812,19,1775446040000,1775446100000,2026-04-06T11:27:20.000+08:00,2026-04-06T11:28:20.000+08:00,60,elephant_38,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.72,901.818,901.818,0.0,0.0,0.0,2.786,100.0,3,32401.722,32401.722,100.0
20260406_110812,20,1775446100000,1775446160000,2026-04-06T11:28:20.000+08:00,2026-04-06T11:29:20.000+08:00,60,elephant_39,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.002,16200.707,899.939,902.296,0.0,0.0,0.0,50.001,50.001,3,32400.601,32400.601,100.0
20260406_110812,20,1775446100000,1775446160000,2026-04-06T11:28:20.000+08:00,2026-04-06T11:29:20.000+08:00,60,elephant_38,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15297.011,899.771,901.809,0.0,0.0,0.0,47.212,97.213,3,32400.601,32400.601,100.0
20260406_110812,20,1775446100000,1775446160000,2026-04-06T11:28:20.000+08:00,2026-04-06T11:29:20.000+08:00,60,elephant_40,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,902.883,901.981,901.981,0.0,0.0,0.0,2.787,100.0,3,32400.601,32400.601,100.0
20260406_110812,21,1775446160000,1775446220000,2026-04-06T11:29:20.000+08:00,2026-04-06T11:30:20.000+08:00,60,elephant_41,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,17.999,16194.883,899.766,901.517,0.0,0.0,0.0,49.992,49.992,3,32395.248,32395.248,100.0
20260406_110812,21,1775446160000,1775446220000,2026-04-06T11:29:20.000+08:00,2026-04-06T11:30:20.000+08:00,60,elephant_40,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15297.323,899.79,901.636,0.0,0.0,0.0,47.221,97.212,3,32395.248,32395.248,100.0
20260406_110812,21,1775446160000,1775446220000,2026-04-06T11:29:20.000+08:00,2026-04-06T11:30:20.000+08:00,60,elephant_42,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.001,903.042,902.14,902.14,0.0,0.0,0.0,2.788,100.0,3,32395.248,32395.248,100.0
20260406_110812,22,1775446220000,1775446280000,2026-04-06T11:30:20.000+08:00,2026-04-06T11:31:20.000+08:00,60,elephant_43,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16202.168,900.07,902.296,0.0,0.0,0.0,50.011,50.011,3,32397.43,32397.43,100.0
20260406_110812,22,1775446220000,1775446280000,2026-04-06T11:30:20.000+08:00,2026-04-06T11:31:20.000+08:00,60,elephant_42,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.0,15292.814,899.577,901.763,0.0,0.0,0.0,47.204,97.214,3,32397.43,32397.43,100.0
20260406_110812,22,1775446220000,1775446280000,2026-04-06T11:30:20.000+08:00,2026-04-06T11:31:20.000+08:00,60,elephant_44,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.0,902.448,902.448,902.448,0.0,0.0,0.0,2.786,100.0,3,32397.43,32397.43,100.0
20260406_110812,23,1775446280000,1775446340000,2026-04-06T11:31:20.000+08:00,2026-04-06T11:32:20.000+08:00,60,elephant_45,1,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,18,18.001,16200.097,899.955,902.652,0.0,0.0,0.0,50.002,50.002,3,32398.608,32398.608,100.0
20260406_110812,23,1775446280000,1775446340000,2026-04-06T11:31:20.000+08:00,2026-04-06T11:32:20.000+08:00,60,elephant_44,2,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,17,17.001,15295.845,899.703,901.843,0.0,0.0,0.0,47.211,97.214,3,32398.608,32398.608,100.0
20260406_110812,23,1775446280000,1775446340000,2026-04-06T11:31:20.000+08:00,2026-04-06T11:32:20.000+08:00,60,elephant_46,3,elephant,medium,tcp,42,5201,18,3,300,igp,igp_default,igp_shortest,igp,1,1.0,902.666,902.666,902.666,0.0,0.0,0.0,2.786,100.0,3,32398.608,32398.608,100.0
