run_key,window_index,window_start_epoch_ms,window_end_epoch_ms,window_start_ts,window_end_ts,decision_window_s,event_id,rank,flow_type,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint,interval_count,active_seconds,transferred_mbits,throughput_mbps_mean,throughput_mbps_peak,retransmits_sum,loss_pct_mean,jitter_ms_mean,flow_share_pct,cumulative_share_pct,window_elephant_flow_count,window_total_elephant_mbits,window_topk_elephant_mbits,window_topk_share_pct
20260406_121119,0,1775448686917,1775448746917,2026-04-06T12:11:26.917+08:00,2026-04-06T12:12:26.917+08:00,60,elephant_1,1,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16196.923,899.779,901.841,36.0,0.0,0.0,48.65,48.65,3,33292.55,33292.55,100.0
20260406_121119,0,1775448686917,1775448746917,2026-04-06T12:11:26.917+08:00,2026-04-06T12:12:26.917+08:00,60,elephant_0,2,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16192.881,899.555,901.883,7.0,0.0,0.0,48.638,97.288,3,33292.55,33292.55,100.0
20260406_121119,0,1775448686917,1775448746917,2026-04-06T12:11:26.917+08:00,2026-04-06T12:12:26.917+08:00,60,elephant_2,3,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,1,1.001,902.747,901.845,901.845,0.0,0.0,0.0,2.712,100.0,3,33292.55,33292.55,100.0
20260406_121119,1,1775448746917,1775448806917,2026-04-06T12:12:26.917+08:00,2026-04-06T12:13:26.917+08:00,60,elephant_3,1,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16195.939,899.724,901.845,0.0,0.0,0.0,49.992,49.992,3,32396.957,32396.957,100.0
20260406_121119,1,1775448746917,1775448806917,2026-04-06T12:12:26.917+08:00,2026-04-06T12:13:26.917+08:00,60,elephant_2,2,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,17,17.003,15298.277,899.74,901.28,11.0,0.0,0.0,47.221,97.214,3,32396.957,32396.957,100.0
20260406_121119,1,1775448746917,1775448806917,2026-04-06T12:12:26.917+08:00,2026-04-06T12:13:26.917+08:00,60,elephant_4,3,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,1,1.001,902.741,901.839,901.839,0.0,0.0,0.0,2.786,100.0,3,32396.957,32396.957,100.0
20260406_121119,2,1775448806917,1775448866917,2026-04-06T12:13:26.917+08:00,2026-04-06T12:14:26.917+08:00,60,elephant_5,1,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.002,16196.652,899.714,901.972,0.0,0.0,0.0,49.999,49.999,3,32393.952,32393.952,100.0
20260406_121119,2,1775448806917,1775448866917,2026-04-06T12:13:26.917+08:00,2026-04-06T12:14:26.917+08:00,60,elephant_4,2,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,17,17.004,15294.513,899.466,900.498,0.0,0.0,0.0,47.214,97.213,3,32393.952,32393.952,100.0
20260406_121119,2,1775448806917,1775448866917,2026-04-06T12:13:26.917+08:00,2026-04-06T12:14:26.917+08:00,60,elephant_6,3,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,1,1.001,902.786,901.884,901.884,0.0,0.0,0.0,2.787,100.0,3,32393.952,32393.952,100.0
20260406_121119,3,1775448866917,1775448926917,2026-04-06T12:14:26.917+08:00,2026-04-06T12:15:26.917+08:00,60,elephant_7,1,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16202.143,900.069,902.814,6.0,0.0,0.0,50.009,50.009,3,32398.678,32398.678,100.0
20260406_121119,3,1775448866917,1775448926917,2026-04-06T12:14:26.917+08:00,2026-04-06T12:15:26.917+08:00,60,elephant_6,2,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,17,17.001,15294.805,899.641,901.659,0.0,0.0,0.0,47.208,97.217,3,32398.678,32398.678,100.0
20260406_121119,3,1775448866917,1775448926917,2026-04-06T12:14:26.917+08:00,2026-04-06T12:15:26.917+08:00,60,elephant_8,3,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,1,1.001,901.73,900.829,900.829,0.0,0.0,0.0,2.783,100.0,3,32398.678,32398.678,100.0
20260406_121119,4,1775448926917,1775448986917,2026-04-06T12:15:26.917+08:00,2026-04-06T12:16:26.917+08:00,60,elephant_9,1,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16199.168,899.904,901.904,6.0,0.0,0.0,51.43,51.43,2,31497.498,31497.498,100.0
20260406_121119,4,1775448926917,1775448986917,2026-04-06T12:15:26.917+08:00,2026-04-06T12:16:26.917+08:00,60,elephant_8,2,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,17,17.0,15298.33,899.902,901.798,0.0,0.0,0.0,48.57,100.0,2,31497.498,31497.498,100.0
20260406_121119,5,1775448986917,1775449046917,2026-04-06T12:16:26.917+08:00,2026-04-06T12:17:26.917+08:00,60,elephant_11,1,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16199.024,899.896,909.544,0.0,0.0,0.0,48.646,48.646,3,33299.768,33299.768,100.0
20260406_121119,5,1775448986917,1775449046917,2026-04-06T12:16:26.917+08:00,2026-04-06T12:17:26.917+08:00,60,elephant_10,2,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16197.955,899.836,901.92,7.0,0.0,0.0,48.643,97.289,3,33299.768,33299.768,100.0
20260406_121119,5,1775448986917,1775449046917,2026-04-06T12:16:26.917+08:00,2026-04-06T12:17:26.917+08:00,60,elephant_12,3,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,1,1.001,902.789,901.887,901.887,0.0,0.0,0.0,2.711,100.0,3,33299.768,33299.768,100.0
20260406_121119,6,1775449046917,1775449106917,2026-04-06T12:17:26.917+08:00,2026-04-06T12:18:26.917+08:00,60,elephant_13,1,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16199.058,899.898,902.185,0.0,0.0,0.0,49.996,49.996,3,32400.838,32400.838,100.0
20260406_121119,6,1775449046917,1775449106917,2026-04-06T12:17:26.917+08:00,2026-04-06T12:18:26.917+08:00,60,elephant_12,2,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,17,17.0,15298.762,899.927,902.819,0.0,0.0,0.0,47.217,97.213,3,32400.838,32400.838,100.0
20260406_121119,6,1775449046917,1775449106917,2026-04-06T12:17:26.917+08:00,2026-04-06T12:18:26.917+08:00,60,elephant_14,3,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,1,1.001,903.017,902.115,902.115,0.0,0.0,0.0,2.787,100.0,3,32400.838,32400.838,100.0
20260406_121119,7,1775449106917,1775449166917,2026-04-06T12:18:26.917+08:00,2026-04-06T12:19:26.917+08:00,60,elephant_15,1,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,18,18.001,16201.145,900.014,901.842,0.0,0.0,0.0,50.003,50.003,3,32400.561,32400.561,100.0
20260406_121119,7,1775449106917,1775449166917,2026-04-06T12:18:26.917+08:00,2026-04-06T12:19:26.917+08:00,60,elephant_14,2,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,17,17.001,15296.687,899.752,901.775,31.0,0.0,0.0,47.211,97.214,3,32400.561,32400.561,100.0
20260406_121119,7,1775449106917,1775449166917,2026-04-06T12:18:26.917+08:00,2026-04-06T12:19:26.917+08:00,60,elephant_16,3,elephant,medium,tcp,42,5201,18,3,300,srte_ml_dynamic,ml_policy_initial,upper_corridor,r1-r2-r3-r4-r8,1,1.001,902.73,901.828,901.828,0.0,0.0,0.0,2.786,100.0,3,32400.561,32400.561,100.0
