interval_start_ts,interval_end_ts,interval_start_epoch_ms,interval_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,rc,interval_index,interval_start_s,interval_end_s,interval_seconds,throughput_mbps,retransmits,jitter_ms,lost_percent,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint
2026-04-06T11:40:42.774+08:00,2026-04-06T11:40:43.775+08:00,1775446842774,1775446843775,mice,mice_0,medium,tcp,42,5202,2,1,20,0,0,0.0,1.001,1.001,20.942,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:43.775+08:00,2026-04-06T11:40:44.776+08:00,1775446843775,1775446844776,mice,mice_0,medium,tcp,42,5202,2,1,20,0,1,1.001,2.002,1.0,19.918,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:45.790+08:00,2026-04-06T11:40:46.792+08:00,1775446845790,1775446846792,mice,mice_1,medium,tcp,42,5202,1,1,20,0,0,0.0,1.002,1.002,20.933,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:49.813+08:00,2026-04-06T11:40:50.814+08:00,1775446849813,1775446850814,mice,mice_3,medium,tcp,42,5203,1,1,20,0,0,0.0,1.001,1.001,20.946,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:48.806+08:00,2026-04-06T11:40:49.807+08:00,1775446848806,1775446849807,mice,mice_2,medium,tcp,42,5202,3,1,20,0,0,0.0,1.001,1.001,20.94,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:49.807+08:00,2026-04-06T11:40:50.807+08:00,1775446849807,1775446850807,mice,mice_2,medium,tcp,42,5202,3,1,20,0,1,1.001,2.001,1.0,19.931,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:50.807+08:00,2026-04-06T11:40:51.806+08:00,1775446850807,1775446851806,mice,mice_2,medium,tcp,42,5202,3,1,20,0,2,2.001,3.0,0.999,19.94,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:50.820+08:00,2026-04-06T11:40:51.820+08:00,1775446850820,1775446851820,mice,mice_4,medium,tcp,42,5204,2,1,20,0,0,0.0,1.0,1.0,20.966,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:51.820+08:00,2026-04-06T11:40:52.820+08:00,1775446851820,1775446852820,mice,mice_4,medium,tcp,42,5204,2,1,20,0,1,1.0,2.0,1.0,19.921,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
2026-04-06T11:40:51.826+08:00,2026-04-06T11:40:52.826+08:00,1775446851826,1775446852826,mice,mice_5,medium,tcp,42,5203,3,1,20,0,0,0.0,1.0,1.0,20.964,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r2-r3-r6-r7-r8
