interval_start_ts,interval_end_ts,interval_start_epoch_ms,interval_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,port,duration_s,parallel,target_bitrate_mbps,rc,interval_index,interval_start_s,interval_end_s,interval_seconds,throughput_mbps,retransmits,jitter_ms,lost_percent,start_active_policy,start_policy_id,start_candidate_path_id,start_elephant_path_hint
2026-04-05T15:27:02.547+08:00,2026-04-05T15:27:03.548+08:00,1775374022547,1775374023548,mice,mice_0,medium,tcp,42,5202,2,1,20,0,0,0.0,1.001,1.001,20.948,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:03.548+08:00,2026-04-05T15:27:04.548+08:00,1775374023548,1775374024548,mice,mice_0,medium,tcp,42,5202,2,1,20,0,1,1.001,2.001,1.0,19.919,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:05.565+08:00,2026-04-05T15:27:06.566+08:00,1775374025565,1775374026566,mice,mice_1,medium,tcp,42,5202,1,1,20,0,0,0.0,1.001,1.001,20.947,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:09.588+08:00,2026-04-05T15:27:10.589+08:00,1775374029588,1775374030589,mice,mice_3,medium,tcp,42,5203,1,1,20,0,0,0.0,1.001,1.001,20.961,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:08.582+08:00,2026-04-05T15:27:09.583+08:00,1775374028582,1775374029583,mice,mice_2,medium,tcp,42,5202,3,1,20,0,0,0.0,1.001,1.001,20.946,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:09.583+08:00,2026-04-05T15:27:10.583+08:00,1775374029583,1775374030583,mice,mice_2,medium,tcp,42,5202,3,1,20,0,1,1.001,2.001,1.0,19.925,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:10.583+08:00,2026-04-05T15:27:11.582+08:00,1775374030583,1775374031582,mice,mice_2,medium,tcp,42,5202,3,1,20,0,2,2.001,3.0,0.999,19.935,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:10.594+08:00,2026-04-05T15:27:11.595+08:00,1775374030594,1775374031595,mice,mice_4,medium,tcp,42,5204,2,1,20,0,0,0.0,1.001,1.001,20.949,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:11.595+08:00,2026-04-05T15:27:12.596+08:00,1775374031595,1775374032596,mice,mice_4,medium,tcp,42,5204,2,1,20,0,1,1.001,2.002,1.001,19.912,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:11.600+08:00,2026-04-05T15:27:12.601+08:00,1775374031600,1775374032601,mice,mice_5,medium,tcp,42,5203,3,1,20,0,0,0.0,1.001,1.001,20.959,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:12.601+08:00,2026-04-05T15:27:13.601+08:00,1775374032601,1775374033601,mice,mice_5,medium,tcp,42,5203,3,1,20,0,1,1.001,2.001,1.0,19.914,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:13.601+08:00,2026-04-05T15:27:14.601+08:00,1775374033601,1775374034601,mice,mice_5,medium,tcp,42,5203,3,1,20,0,2,2.001,3.001,1.0,19.916,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:12.606+08:00,2026-04-05T15:27:13.607+08:00,1775374032606,1775374033607,mice,mice_6,medium,tcp,42,5202,3,1,20,0,0,0.0,1.001,1.001,20.949,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:13.607+08:00,2026-04-05T15:27:14.607+08:00,1775374033607,1775374034607,mice,mice_6,medium,tcp,42,5202,3,1,20,0,1,1.001,2.001,1.0,19.917,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:14.607+08:00,2026-04-05T15:27:15.608+08:00,1775374034607,1775374035608,mice,mice_6,medium,tcp,42,5202,3,1,20,0,2,2.001,3.002,1.0,19.915,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:13.613+08:00,2026-04-05T15:27:14.614+08:00,1775374033613,1775374034614,mice,mice_7,medium,tcp,42,5204,3,1,20,0,0,0.0,1.001,1.001,20.948,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:14.614+08:00,2026-04-05T15:27:15.614+08:00,1775374034614,1775374035614,mice,mice_7,medium,tcp,42,5204,3,1,20,0,1,1.001,2.001,1.0,19.916,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:15.614+08:00,2026-04-05T15:27:16.614+08:00,1775374035614,1775374036614,mice,mice_7,medium,tcp,42,5204,3,1,20,0,2,2.001,3.001,1.0,19.929,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:15.625+08:00,2026-04-05T15:27:16.626+08:00,1775374035625,1775374036626,mice,mice_9,medium,tcp,42,5203,2,1,20,0,0,0.0,1.001,1.001,20.958,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:16.626+08:00,2026-04-05T15:27:17.626+08:00,1775374036626,1775374037626,mice,mice_9,medium,tcp,42,5203,2,1,20,0,1,1.001,2.001,1.0,19.922,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:14.619+08:00,2026-04-05T15:27:15.619+08:00,1775374034619,1775374035619,mice,mice_8,medium,tcp,42,5205,3,1,20,0,0,0.0,1.0,1.0,20.962,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:15.619+08:00,2026-04-05T15:27:16.619+08:00,1775374035619,1775374036619,mice,mice_8,medium,tcp,42,5205,3,1,20,0,1,1.0,2.0,1.0,19.927,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:16.619+08:00,2026-04-05T15:27:17.620+08:00,1775374036619,1775374037620,mice,mice_8,medium,tcp,42,5205,3,1,20,0,2,2.0,3.001,1.001,19.903,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:18.647+08:00,2026-04-05T15:27:19.654+08:00,1775374038647,1775374039654,mice,mice_12,medium,tcp,42,5203,1,1,20,0,0,0.0,1.007,1.007,20.82,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:16.632+08:00,2026-04-05T15:27:17.633+08:00,1775374036632,1775374037633,mice,mice_10,medium,tcp,42,5202,3,1,20,0,0,0.0,1.001,1.001,20.957,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:17.633+08:00,2026-04-05T15:27:18.633+08:00,1775374037633,1775374038633,mice,mice_10,medium,tcp,42,5202,3,1,20,0,1,1.001,2.001,1.0,19.925,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:18.633+08:00,2026-04-05T15:27:19.639+08:00,1775374038633,1775374039639,mice,mice_10,medium,tcp,42,5202,3,1,20,0,2,2.001,3.007,1.007,19.787,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:17.641+08:00,2026-04-05T15:27:18.642+08:00,1775374037641,1775374038642,mice,mice_11,medium,tcp,42,5204,2,1,20,0,0,0.0,1.001,1.001,20.942,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:18.642+08:00,2026-04-05T15:27:19.643+08:00,1775374038642,1775374039643,mice,mice_11,medium,tcp,42,5204,2,1,20,0,1,1.001,2.002,1.001,19.902,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
2026-04-05T15:27:20.668+08:00,2026-04-05T15:27:21.669+08:00,1775374040668,1775374041669,mice,mice_14,medium,tcp,42,5202,1,1,20,0,0,0.0,1.001,1.001,20.945,0,,,srte_static,static_policy_r1_h2_path_b,path_b,r1-r3-r4
