timestamp,wall_time_epoch_ms,sample_id,experiment_id,elapsed_s,dt_s,state_read_ok,mode,traffic_profile,active_policy,policy_id,candidate_path_id,policy_seq,decision_id,reroute_event,cooldown_active,event,event_ts,cooldown_until,elephant_path_hint,elephant_flow_id,elephant_topk_rank,ingress_node,segment_list,controller_epoch_s,gain_mlu_pct,gain_rtt_ms,policy_seq_delta,policy_changed,decision_changed,path_changed,controller_lag_s
2026-04-06T11:41:25.224,1775446885224,18,exp_static_run1,48.3,2.986,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:27.902,1775446887902,19,exp_static_run1,50.977,2.678,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:30.937,1775446890937,20,exp_static_run1,54.013,3.036,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:33.725,1775446893725,21,exp_static_run1,56.801,2.788,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:36.389,1775446896389,22,exp_static_run1,59.465,2.664,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:39.102,1775446899102,23,exp_static_run1,62.178,2.713,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:41.722,1775446901722,24,exp_static_run1,64.798,2.62,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:44.376,1775446904376,25,exp_static_run1,67.452,2.654,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:47.050,1775446907050,26,exp_static_run1,70.125,2.674,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:49.729,1775446909729,27,exp_static_run1,72.805,2.68,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:52.413,1775446912413,28,exp_static_run1,75.489,2.684,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:55.045,1775446915045,29,exp_static_run1,78.121,2.632,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:41:57.653,1775446917653,30,exp_static_run1,80.729,2.607,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:00.326,1775446920326,31,exp_static_run1,83.402,2.673,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:02.898,1775446922898,32,exp_static_run1,85.973,2.571,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:05.690,1775446925690,33,exp_static_run1,88.766,2.793,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:08.320,1775446928320,34,exp_static_run1,91.396,2.63,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:10.983,1775446930983,35,exp_static_run1,94.059,2.663,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:13.603,1775446933603,36,exp_static_run1,96.679,2.62,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:16.254,1775446936254,37,exp_static_run1,99.33,2.651,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:18.898,1775446938898,38,exp_static_run1,101.974,2.644,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:21.522,1775446941522,39,exp_static_run1,104.597,2.623,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:24.180,1775446944180,40,exp_static_run1,107.256,2.659,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:26.854,1775446946854,41,exp_static_run1,109.93,2.674,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
