feature,importance
clab_srte4_r2__eth1__tx_mbps__lag5,0.0008356528853123108
clab_srte4_r1__eth2__tx_mbps__rollmean3,0.0008353306547020093
ping_rtt_max_ms__rollstd5,0.0008188862760008117
clab_srte4_r2__eth1__tx_mbps__rollmean3,0.0008129697135514945
clab_srte4_r1__eth2__is_hot_link__rollmean10,0.0008036685710488158
ping_rtt_avg_ms__lag1,0.000794648474502725
network_mlu_pct__rollmean5,0.0007938011109949098
clab_srte4_r2__eth2__rx_mbps__rollstd10,0.0007900459138839126
clab_srte4_r3__eth1__rx_mbps__rollmean3,0.0007339670308873858
clab_srte4_r3__eth1__rx_mbps__lag2,0.000729020484310396
clab_srte4_r1__eth1__rx_mbps__rollstd3,0.0007241939697869072
clab_srte4_r2__eth2__rx_mbps__lag3,0.0007228234811058701
ping_rtt_min_ms__lag1,0.0007213421702996639
clab_srte4_r3__eth2__tx_mbps__rollstd10,0.0007152121965433254
ping_rtt_p99_ms__rollstd10,0.000713513909968691
clab_srte4_r2__eth2__rx_mbps__lag2,0.0007116128333010705
ping_rtt_p95_ms__lag10,0.0007042918150545635
clab_srte4_r2__eth1__util_pct,0.0006963376811508185
ping_rtt_max_ms,0.0006766462026980697
clab_srte4_r3__eth2__util_pct__lag1,0.0006687061487212945
ping_rtt_avg_ms__rollmean5,0.000664821713033687
ping_rtt_avg_ms__lag5,0.000657469990530383
ping_rtt_max_ms__lag1,0.0006492993571023557
clab_srte4_r4__eth1__tx_mbps__lag3,0.0006410632137319054
clab_srte4_r2__eth1__util_pct__lag3,0.0006350100889327751
clab_srte4_r3__eth2__tx_mbps__rollmean10,0.0006319996092507359
ping_rtt_min_ms__lag3,0.0006306213056558168
clab_srte4_r4__eth1__util_pct__lag2,0.0006253605125269968
clab_srte4_r1__eth1__rx_mbps__lag2,0.0006253335534615932
ping_rtt_p99_ms__lag1,0.0006184401086404633
clab_srte4_r3__eth2__tx_mbps__lag2,0.0006180400499584716
clab_srte4_r4__eth1__tx_mbps__lag5,0.0006007927422559693
clab_srte4_r2__eth1__tx_mbps__rollstd10,0.0005966626558106916
ping_rtt_p99_ms__lag2,0.0005957392280009381
clab_srte4_r3__eth2__tx_mbps__rollmean3,0.0005953927745018041
ping_rtt_p95_ms__rollstd3,0.000592610387786112
clab_srte4_r4__eth2__rx_mbps__rollstd5,0.0005834640378506292
clab_srte4_r3__eth1__rx_mbps__lag1,0.0005814820089730394
ping_rtt_p99_ms__rollmean5,0.0005752529771408747
clab_srte4_r1__eth2__tx_mbps__rollstd5,0.0005683965672935295
ping_rtt_max_ms__rollstd10,0.0005594338564103689
clab_srte4_r1__eth2__util_pct__rollstd5,0.0005552616220457825
clab_srte4_r3__eth2__util_pct__rollmean10,0.0005496956456763492
ping_rtt_min_ms__rollmean5,0.0005388511267883093
ping_rtt_p99_ms__lag3,0.0005326243348687382
clab_srte4_r1__eth2__tx_mbps__rollstd3,0.0005273744158371855
clab_srte4_r2__eth1__tx_mbps__rollstd5,0.0005209213570858031
clab_srte4_r3__eth1__rx_mbps__rollstd3,0.0005191063356271753
network_mlu_pct__rollmean3,0.0005173897433462878
clab_srte4_r3__eth2__util_pct__rollstd10,0.0005105080906020134
clab_srte4_r2__eth2__rx_mbps__lag5,0.0005038562371832021
clab_srte4_r3__eth1__rx_mbps__rollstd5,0.0005014409577938818
clab_srte4_r3__eth1__rx_mbps__lag3,0.0005003354926324524
clab_srte4_r3__eth2__util_pct__lag3,0.0004998848907447467
ping_rtt_p95_ms__rollstd10,0.0004997960525030534
clab_srte4_r3__eth2__util_pct__rollmean3,0.000498795525487098
clab_srte4_r4__eth2__rx_mbps__lag10,0.0004952987252312467
clab_srte4_r3__eth2__util_pct__rollstd3,0.00048557318123176575
clab_srte4_r3__eth2__tx_mbps__lag3,0.00047990600082008846
clab_srte4_r2__eth2__rx_mbps__rollstd3,0.0004735625813941415
clab_srte4_r2__eth1__util_pct__lag5,0.0004734803342482409
clab_srte4_r2__eth2__rx_mbps__rollstd5,0.00047189660617130805
network_mlu_pct__rollstd10,0.000465534045344184
clab_srte4_r3__eth1__rx_mbps__rollmean10,0.000445203477955854
clab_srte4_r2__eth1__util_pct__lag2,0.0004427682293505707
clab_srte4_r2__eth1__tx_mbps__rollstd3,0.000442046220078511
ping_rtt_max_ms__lag2,0.0004415324347282941
ping_rtt_avg_ms__rollstd3,0.0004413894244225742
ping_rtt_avg_ms__rollstd10,0.0004294952664010104
clab_srte4_r1__eth2__util_pct__rollstd3,0.00042240319892444643
clab_srte4_r3__eth2__util_pct__rollstd5,0.00041089678655815715
clab_srte4_r1__eth2__util_pct__lag3,0.00041044650912736756
ping_rtt_p95_ms__lag2,0.00040209370108913555
clab_srte4_r4__eth1__util_pct__lag10,0.00039901731129694633
ping_rtt_p95_ms__rollstd5,0.00039803480407307886
ping_rtt_min_ms__lag5,0.00039311620768968814
network_mlu_pct__rollstd5,0.00039166093855834405
clab_srte4_r2__eth1__tx_mbps__lag2,0.0003799504183309197
clab_srte4_r2__eth1__util_pct__rollstd5,0.00037713665600251807
network_mlu_pct__lag1,0.00037431395699336534
ping_rtt_p99_ms__rollstd3,0.0003677154338075424
clab_srte4_r1__eth2__tx_mbps__lag3,0.0003618108212172509
ping_rtt_p99_ms__rollmean10,0.0003536797877699723
clab_srte4_r3__eth2__tx_mbps__rollmean5,0.0003496285142149207
ping_rtt_p99_ms__rollstd5,0.00034342793671993425
ping_rtt_p95_ms__lag5,0.00034123260832587564
clab_srte4_r3__eth1__rx_mbps__rollstd10,0.00033015663428895926
ping_rtt_max_ms__lag5,0.00032777661865906083
ping_rtt_avg_ms__lag10,0.00032555754134764496
clab_srte4_r3__eth2__tx_mbps__lag1,0.00032472987771535813
ping_rtt_p95_ms__lag3,0.0003225786233893831
ping_rtt_p95_ms__rollmean3,0.0003224690661369746
